                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8036,                 4.5318,                 2.5326,                0.00129,                    0.4,                0.05166,                0.01302,                 2.3766,                 4.8984,                   2.44,                0.00012,                0.00012,                0.00012
                      2,                  2.431,                 4.0729,                 2.2133,                0.00161,                    0.5,                0.08333,                0.02232,                  2.394,                 4.9469,                 2.4221,             0.00025743,             0.00025743,             0.00025743
                      3,                 2.2069,                 3.5614,                  1.973,                0.00172,                0.53333,                0.15728,                0.05089,                 2.3967,                 4.6794,                 2.2308,             0.00039208,             0.00039208,             0.00039208
                      4,                 2.0816,                 3.2035,                 1.8095,                0.00172,                0.53333,                0.07102,                0.02486,                 2.4051,                 4.6207,                 2.3026,             0.00052396,             0.00052396,             0.00052396
                      5,                 2.1832,                 3.1072,                 1.8788,                0.32559,                0.16667,                0.17149,                0.04063,                 2.1625,                 4.2924,                 2.0262,             0.00065307,             0.00065307,             0.00065307
                      6,                 2.0436,                 2.8138,                 1.7513,                0.62798,                0.06667,                0.13961,                0.05419,                 2.1042,                 4.1974,                 1.9676,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.0224,                 2.8473,                 1.7741,                0.53587,                0.13333,                0.18302,                0.07107,                 2.0292,                 3.9979,                 1.9892,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.0021,                 2.8478,                 1.7585,                0.36467,                0.13333,                   0.18,                0.05016,                 2.2505,                 4.1132,                 2.0962,              0.0010238,              0.0010238,              0.0010238
                      9,                  1.967,                 2.6682,                 1.7686,                0.37151,                0.16667,                0.14812,                0.04508,                 2.5088,                 4.3689,                 2.5873,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.0039,                 2.6269,                 1.7872,                0.41417,                0.23333,                0.18337,                0.07722,                 2.3259,                 4.0159,                 2.3556,               0.001257,               0.001257,               0.001257
                     11,                 1.9157,                 2.5572,                  1.755,                0.27103,                0.16667,                0.14034,                0.04578,                 2.4312,                 5.0717,                 2.5645,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.9251,                 2.4099,                 1.7393,                0.28814,                0.23333,                0.13001,                0.03688,                 2.4306,                 4.3517,                  2.606,              0.0014792,              0.0014792,              0.0014792
                     13,                  1.878,                 2.2382,                 1.6819,                0.30872,                0.28314,                 0.1472,                0.04129,                 2.3489,                 4.0462,                 2.5175,              0.0015862,              0.0015862,              0.0015862
                     14,                  1.832,                 2.2013,                 1.7059,                0.18553,                0.26667,                0.14463,                 0.0449,                 2.1705,                  4.893,                 2.4899,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.8982,                 2.2117,                 1.7182,                0.32292,                    0.3,                0.22519,                0.08459,                 2.2969,                 6.3563,                 2.7258,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8562,                 2.0972,                  1.691,                0.14846,                0.43333,                0.22069,                0.07929,                 2.1848,                 7.7275,                  2.433,               0.001703,               0.001703,               0.001703
                     17,                 1.8345,                 2.1006,                 1.6642,                0.16937,                    0.3,                 0.1726,                0.05594,                  2.172,                 6.5996,                 2.4812,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7949,                 1.9743,                 1.6032,                0.16277,                0.42133,                0.15021,                0.05356,                 2.3203,                 8.2316,                 2.7181,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.7485,                  1.943,                 1.6298,                0.12387,                0.34412,                0.11146,                0.04703,                 2.4856,                 5.4497,                 2.6462,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8891,                 2.1126,                 1.6853,                 0.4016,                    0.3,                0.26853,                0.08054,                 2.5838,                 3.2346,                 2.5876,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6942,                 1.8614,                 1.5604,                0.65889,                    0.3,                0.40153,                0.12196,                 2.5092,                 2.9877,                 2.4298,               0.001604,               0.001604,               0.001604
                     22,                  1.746,                 1.8189,                 1.6276,                0.65131,                0.53333,                0.53657,                0.17427,                 2.2562,                  2.781,                  2.201,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6664,                  1.776,                 1.5511,                0.74208,                0.53333,                0.61806,                0.18174,                 2.3218,                 2.7637,                 2.3018,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6502,                 1.6933,                 1.5632,                0.54141,                0.43291,                0.44639,                0.12812,                 2.3052,                 2.9292,                 2.3176,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5804,                 1.6318,                 1.5188,                0.37992,                0.66667,                0.41711,                0.12621,                 2.2408,                 3.1049,                 2.2586,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7188,                 1.7397,                 1.5866,                0.40877,                    0.6,                0.37646,                0.13245,                 2.2694,                 2.9135,                 2.3138,               0.001505,               0.001505,               0.001505
                     27,                 1.6241,                 1.5905,                 1.5104,                0.53932,                    0.5,                0.49345,                0.16489,                 2.3849,                  2.483,                  2.429,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6879,                 1.6293,                 1.5695,                0.45238,                0.53333,                0.41432,                0.15291,                 2.4753,                 2.3731,                 2.4034,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5734,                 1.6298,                  1.532,                0.43919,                0.53333,                0.40373,                0.14343,                  2.437,                 2.4563,                 2.3428,              0.0014456,              0.0014456,              0.0014456
